this_image,corr_ans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,introtxt.started,start_resp.started,go_example.started,nogo_example.started,intro.stopped,start_resp.keys,start_resp.rt,start_resp.duration,trial.started,image.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,feedback.started,fbtxt.started,feedback.stopped,fbtxt.stopped,image.stopped,key_resp.stopped,end.started,textbox.started,end_resp.started,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,trialSeed,
,,,,,,,,0.022061700001358986,0.0891810000030091,0.0891810000030091,0.0891810000030091,0.0891810000030091,7.7386970999941695,s,7.639874899992719,None,,,,,,,,,,,,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,,
go.png,space,0,0,0,2,7.752870299998904,,,,,,,,,,,7.747233500005677,7.752870299998904,7.752870299998904,9.187672400003066,space,1,1.4253387999924598,None,9.18851559999166,9.208870899994508,9.693999600000097,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,0,1,1,1,9.702331499996944,,,,,,,,,,,9.6946054,9.702331499996944,9.702331499996944,10.154321299996809,space,1,0.44261729999561794,None,10.155013299998245,10.162360999995144,10.66088199999649,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,0,2,2,0,10.668957799993223,,,,,,,,,,,10.661387100000866,10.668957799993223,10.668957799993223,11.04509319999488,space,1,0.372063300004811,None,11.045536699995864,11.052691200005938,11.544685999993817,11.552672599995276,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
nogo.png,None,0,3,3,3,11.552672599995276,,,,,,,,,,,11.545371999993222,11.552672599995276,11.552672599995276,13.545230100004119,None,1,,,13.545610899993335,13.552799400000367,14.04464089999965,14.052513300004648,13.552799400000367,13.552799400000367,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,1,0,4,1,14.052513300004648,,,,,,,,,,,14.045046700004605,14.052513300004648,14.052513300004648,14.536656099997344,space,1,0.47807060000195634,None,14.537098799992236,14.543905400001677,15.036553700003424,15.044610800003284,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
nogo.png,None,1,1,5,3,15.044610800003284,,,,,,,,,,,15.037068999998155,15.044610800003284,15.044610800003284,17.03647269999783,None,1,,,17.036827999996603,17.043969599995762,17.53636299999198,17.544968799993512,17.043969599995762,17.043969599995762,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,1,2,6,0,17.544968799993512,,,,,,,,,,,17.536761199997272,17.544968799993512,17.544968799993512,18.070291199997882,space,1,0.5206450000114273,None,18.070810199991683,18.07727320000413,18.569985800000723,18.57760619999317,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,1,3,7,2,18.57760619999317,,,,,,,,,,,18.570384099992225,18.57760619999317,18.57760619999317,18.978708599999663,space,1,0.3939297000033548,None,18.979623499995796,18.985450199994375,19.47779979999177,19.485805000003893,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,2,0,8,1,19.485805000003893,,,,,,,,,,,19.478595399996266,19.485805000003893,19.485805000003893,19.88660379999783,space,1,0.39695059999939986,None,19.88708659999247,19.89385670000047,20.38655719999224,20.393969900003867,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
nogo.png,None,2,1,9,3,20.393969900003867,,,,,,,,,,,20.38706330000423,20.393969900003867,20.393969900003867,22.386298199999146,None,1,,,22.38709669999662,22.394046799992793,22.886230799995246,22.89387980000174,22.394046799992793,22.394046799992793,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,2,2,10,0,22.89387980000174,,,,,,,,,,,22.88667949999217,22.89387980000174,22.89387980000174,23.429245199993602,space,1,0.528854299991508,None,23.429978600004688,23.435690300000715,23.928026599998702,23.935445499999332,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,2,3,11,2,23.935445499999332,,,,,,,,,,,23.928482699993765,23.935445499999332,23.935445499999332,24.32101080000575,space,1,0.3789429999887943,None,24.321856199996546,24.328818399997544,24.82761429999664,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
nogo.png,None,3,0,12,3,24.835484299997916,,,,,,,,,,,24.828105399996275,24.835484299997916,24.835484299997916,26.82756089999748,None,1,,,26.827924299999722,26.836181899998337,27.32752089999849,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,3,1,13,0,27.336028399993666,,,,,,,,,,,27.327907600003527,27.336028399993666,27.336028399993666,27.91245329999947,space,1,0.5733056000026409,None,27.91314720000082,27.919404899992514,28.41114290000405,28.418850300004124,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,3,2,14,2,28.418850300004124,,,,,,,,,,,28.41154240000469,28.418850300004124,28.418850300004124,28.711957799998345,space,1,0.2915948000008939,None,28.71268529999361,28.71877389999281,29.211085400005686,29.21940960000211,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,3,3,15,1,29.21940960000211,,,,,,,,,,,29.211453700001584,29.21940960000211,29.21940960000211,29.545082500000717,space,1,0.32279980000748765,None,29.54563130000315,29.55214430000342,30.044223499993677,30.052382099995157,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,4,0,16,1,30.052382099995157,,,,,,,,,,,30.04466400000092,30.052382099995157,30.052382099995157,30.520317599992268,space,1,0.46003049999126233,None,30.52099509999971,30.527132799994433,31.019648600005894,31.027009900004487,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,4,1,17,2,31.027009900004487,,,,,,,,,,,31.020357999994303,31.027009900004487,31.027009900004487,31.537215599993942,space,1,0.5081533000047784,None,31.53783669999393,31.543761499997345,32.03643490000104,32.044191499997396,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,4,2,18,0,32.044191499997396,,,,,,,,,,,32.03686579999339,32.044191499997396,32.044191499997396,32.37971120000293,space,1,0.3266851000080351,None,32.38022399999318,32.388055699993856,32.886148499994306,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
nogo.png,None,4,3,19,3,32.895022400000016,,,,,,,,,,,32.88656319999427,32.895022400000016,32.895022400000016,34.88553250000405,None,1,,,34.88598999999522,34.893979400003445,35.385770299995784,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
go.png,space,5,0,20,0,35.39420290000271,,,,,,,,,,,35.38626749999821,35.39420290000271,35.39420290000271,36.253549400003976,space,1,0.8539707000018097,None,36.25415739999153,36.26260329999786,36.76050910000049,,,,,,,,wjdgodbs,001,2026-08-12_14h36.51.944,gng,2023.2.3,121.4624073779345,2026-08-12 14h37.02.346548 +0900,1110179521,
